# Metadata of the RNA sequencing data used to create the TRN model with ICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# Metadata of the RNA sequencing data used to create the TRN model with ICA
,BioProject,BioSample,Body_Site,project,base_media,condition,growth_phase,isolate,reference_condition,skip,OD-600,NOTES,InsertDev,InsertSize,LibraryLayout,LibrarySelection,LibrarySource,LibraryStrategy,Manual Strain,Model,Platform,Project,ProjectID,ReleaseDate,Run,SRAStudy,Sample,ScientificName,Submission,TaxID,class_tax_id,species,species_tax_id,strain_tax_id,Swift,Treatment,full_name,passed_fastqc,passed_global_correlation,passed_number_replicates,passed_reads_mapped_to_CDS,passed_similar_replicates,condition_name,project_name,CenterName,Notes,SRA ID,GEO Series,GEO Sample,PMID,passed_replicate_correlations,genetic_changes,name,treatment,strain_description,Study_Pubmed_id,Previous ID (Changed SRR to SRX)
SRX17697373,PRJNA881834,SAMN30916718,,CcpA CodY interaction,CA-MHB,Control,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:Control:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR21699866
SRX17697380,PRJNA881834,SAMN30916717,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:marR_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,marR_TF::bursa,NE1189,,,,SRR21699859
SRX17697381,PRJNA881834,SAMN30916715,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:ilvA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ilvA::bursa,NE340,,,,SRR21699858
SRX17697382,PRJNA881834,SAMN30916715,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:ilvA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ilvA::bursa,NE340,,,,SRR21699857
SRX17697383,PRJNA881834,SAMN30916714,,CcpA CodY interaction,CA-MHB,2g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ilvA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ilvA::bursa,NE340,,,,SRR21699856
SRX17697384,PRJNA881834,SAMN30916714,,CcpA CodY interaction,CA-MHB,2g/Lglucose,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:2g/Lglucose:exp:JE2:ilvA::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,ilvA::bursa,NE340,,,,SRR21699855
SRX17697385,PRJNA881834,SAMN30916720,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:araC_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,araC_TF::bursa,NE530,,,,SRR21699854
SRX17697386,PRJNA881834,SAMN30916720,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:araC_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,araC_TF::bursa,NE530,,,,SRR21699853
SRX17697387,PRJNA881834,SAMN30916718,,CcpA CodY interaction,CA-MHB,Control,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:Control:exp:JE2:WT,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,WT,,,,,SRR21699852
SRX17697388,PRJNA881834,SAMN30916716,,CcpA CodY interaction,CA-MHB,,exp,JE2,Control,,0.4,,,,PAIRED,,,,,,,,,,,,,,,,,,,,TRUE,,CcpA CodY interaction:CA-MHB:None:exp:JE2:tfox_TF::bursa,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,tfox_TF::bursa,NE1861,,,,SRR21699851
