# Results of automatic iModulon annotation using TRNs curated from various publications,,,,,,,,,,,,
,regulator,pvalue,qvalue,precision,recall,f1score,TP,regulon_size,imodulon_size,n_regs,single_gene,explained_variance
SG_1,,,,,,,,,2,,TRUE,0.001303265
1,,,,,,,,,38,,,0.00107572
2,,,,,,,,,57,,,0.004220145
USA300 iModulon-1,Genomic Island 3,2.91E-16,1.74E-15,0.275,0.523809524,0.360655738,11,21,40,1,,0.043169163
Purine,Purine,5.41E-12,1.08E-11,0.666666667,1,0.8,4,4,6,1,,0.004003755
Fur-1,Fur,7.12E-39,2.85E-38,0.590909091,0.553191489,0.571428571,26,47,44,1,,0.004433774
SG_2,,,,,,,,,9,,TRUE,0.000623393
Genomic Island 9-1,Genomic Island 9,1.36E-23,8.16E-23,0.739130435,0.22972973,0.350515464,17,74,23,1,,0.006520431
8,,,,,,,,,41,,,0.010300405
CcpA-1,CcpA,1.26E-07,2.51E-07,1,0.041322314,0.079365079,5,121,5,1,,0.000966938
YtrA,YtrA,0,0,1,1,1,5,5,5,1,,0.002128305
WalR-1,WalR,6.53E-14,5.22E-13,0.282828283,0.178343949,0.21875,28,157,99,1,,0.010241526
CodY-1,CodY,1.68E-08,3.36E-08,1,0.040816327,0.078431373,6,147,6,1,,0.00439131
13,,,,,,,,,7,,,0.033759182
SG_3,,,,,,,,,16,,TRUE,0.000864336
15,,,,,,,,,6,,,0.004878824
CodY-2,CodY,3.54E-19,1.41E-18,0.9375,0.102040816,0.18404908,15,147,16,1,,0.007558862
17,,,,,,,,,27,,,0.012177704
VraS2-1,VraS2,1.15E-44,5.77E-44,0.710526316,0.6,0.65060241,27,45,38,1,,0.002052931
SG_4,,,,,,,,,8,,TRUE,0.001330285
MntR,MntR,1.03E-08,1.03E-08,0.6,0.75,0.666666667,3,4,5,1,,0.002216205
Genomic Island 6-1,Genomic Island 6,1.55E-12,1.09E-11,0.379310345,0.196428571,0.258823529,11,56,29,1,,0.002622232
22,,,,,,,,,13,,,0.002900963
SG_5,,,,,,,,,16,,TRUE,0.011665912
PerR,PerR,2.10E-23,8.39E-23,0.6875,0.647058824,0.666666667,11,17,16,1,,0.007736615
PdxR,PdxR,1.47E-06,1.47E-06,0.5,1,0.666666667,2,2,4,1,,0.001452562
