strain,resistance,mecA,no_of_SCCmec,single_gene_prediction,whole_cassette_prediction,wcp_pident,agreement
1280_21783,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1412728_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.75,True
1410812_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.78,True
1280_4373,MSSA,False,0,,,0.0,True
1280_28360,MRSA,True,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.84,True
1280_3856,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),91.32,True
1280_17965,MSSA,False,0,,,0.0,True
1280_17934,MSSA,False,0,,,0.0,True
1280_4456,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,True
1412786_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.05,True
46170_343,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1418354_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.38,True
1410855_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1280_11644,MSSA,False,0,,,0.0,True
1280_27502,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.96,True
1280_12358,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.59,True
1280_12383,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1409370_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.59,True
1418301_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.33,True
1280_18092,MSSA,False,0,,,0.0,True
1280_4516,MSSA,False,0,,,0.0,True
1409444_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1280_5309,MRSA,True,Multiple,SCCmec_type_IV(2B),SCCmec_type_II(2A),52.26,False
1418411_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.56,True
1409583_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.68,True
1280_3857,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.81,True
1280_11645,MSSA,False,0,,,0.0,True
1409717_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.21,True
46170_351,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.76,True
1417064_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,True
1280_17815,MSSA,False,0,,,0.0,True
1410865_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_9429,MSSA,False,0,,,0.0,True
1280_24318,MSSA,False,0,,,0.0,True
1412782_3,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),79.38,False
1280_27462,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.78,True
1280_4021,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.04,True
1280_4681,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.93,True
1280_11668,MSSA,False,0,,,0.0,True
1398006_3,MSSA,False,0,,,0.0,True
1409736_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.62,True
1280_4974,MSSA,False,0,,,0.0,True
1417182_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.47,True
1280_4452,MSSA,False,0,,,0.0,True
1280_25939,MSSA,False,0,,,0.0,True
1409554_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.85,True
1409428_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.84,True
1280_27460,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1421854_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,True
1280_16274,MRSA,True,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.76,True
1417057_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.82,True
1409560_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.48,True
1280_4388,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,True
1280_12334,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,True
1412766_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1156999_3,MSSA,False,0,,,0.0,True
1421846_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.75,True
1418422_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.03,True
1280_11686,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.0,True
1280_3973,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.18,True
1280_3988,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,True
1280_17710,MSSA,False,0,,,0.0,True
1280_3962,MRSA,True,1,SCCmec_type_IVb(2B),SCCmec_type_IVb(2B),99.4,True
1280_17985,MRSA,True,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.7,True
1280_17875,MSSA,False,0,,,0.0,True
904799_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1280_4547,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.64,True
1280_16398,MSSA,False,0,,,0.0,True
867914_5,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.03,True
1280_4499,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_25833,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.6,True
1409586_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.62,True
1410707_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_16915,MRSA,True,1,SCCmec_type_VI(4B),SCCmec_type_VI(4B),95.86,True
1739323_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.91,True
1421859_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.61,True
1411545_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,True
1409513_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,True
1280_21636,MSSA,False,0,,,0.0,True
1280_12366,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.56,True
1417048_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1409401_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.84,True
1410695_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1280_4748,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.99,True
1409429_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,True
1280_4749,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,True
1280_18631,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,True
1412685_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.48,True
1280_4385,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1417105_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.72,True
1280_3802,MSSA,False,0,,,0.0,True
1280_4737,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.02,True
1280_18044,MRSA,True,1,SCCmec_type_VI(4B),SCCmec_type_VI(4B),95.93,True
1410737_3,MRSA,True,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),78.7,False
1421898_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.97,True
1280_27469,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.15,True
1280_4743,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.94,True
1280_30797,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1412772_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.98,True
1280_16396,MSSA,False,0,,,0.0,True
1280_4488,MSSA,False,0,,,0.0,True
1280_18035,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.05,True
1280_13680,MRSA,True,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.87,True
1280_28563,MSSA,False,0,,,0.0,True
1418277_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,True
1280_4459,MSSA,False,0,,,0.0,True
1280_12369,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,True
1410720_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1412705_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.66,True
1410841_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1410714_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.64,True
1412683_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.43,True
1280_10025,MSSA,False,0,,,0.0,True
1280_18513,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.97,True
1280_4540,MSSA,False,0,,,0.0,True
1280_4421,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,True
1409707_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.84,True
1412798_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,True
1418434_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,True
1409564_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.51,True
1417058_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
1409699_3,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,True
46170_361,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.82,True
1280_28641,MRSA,True,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.96,True
