CompId	Annotation	NumberOfNodes	EValue
0	USA300HOU_RS00290;DBGWAS_general_tag=hypothetical_protein	7	6.130000e-25
0	USA300HOU_RS00185;DBGWAS_general_tag=hypothetical_protein	13	6.980000e-24
0	TCH1516intergenic_61153-61682	12	9.460000e-119
0	TCH1516intergenic_60717-60793	1	7.680000e-12
0	USA300HOU_RS00260;DBGWAS_general_tag=hypothetical_protein	18	1.640000e-66
1	TCH1516intergenic_1179209-1179516	5	3.260000e-23
1	NCTC8325intergenic_1085307-1085614	5	3.260000e-23
1	TCH1516intergenic_1107365-1107532	1	1.930000e-09
1	NCTC8325intergenic_1013293-1013460	1	1.930000e-09
1	TCH1516intergenic_2165192-2165509	2	1.940000e-10
1	NCTC8325intergenic_2111488-2111805	2	1.940000e-10
1	TCH1516intergenic_2825185-2826032	29	1.450000e-37
1	NCTC8325intergenic_2773601-2774449	29	1.450000e-37
1	TCH1516intergenic_1917784-1917919	2	2.510000e-09
1	NCTC8325intergenic_1820726-1820861	2	2.510000e-09
1	TCH1516intergenic_1804712-1805352	19	6.130000e-25
1	NCTC8325intergenic_1705641-1707965	20	6.130000e-25
1	TCH1516intergenic_2504696-2505099	11	6.130000e-25
1	NCTC8325intergenic_2451645-2452048	11	6.130000e-25
1	TCH1516intergenic_2478113-2478687	36	1.740000e-31
1	NCTC8325intergenic_2425060-2426130	28	1.740000e-31
1	TCH1516intergenic_756512-756724	63	6.130000e-25
1	NCTC8325intergenic_675684-675902	66	6.130000e-25
1	TCH1516intergenic_2071731-2072077	25	2.200000e-24
1	NCTC8325intergenic_2018124-2018696	25	2.200000e-24
1	USA300HOU_RS13620;DBGWAS_general_tag=MFS_transporter	4	1.530000e-19
1	SAOUHSC_02818;DBGWAS_general_tag=hypothetical_protein	4	1.530000e-19
1	TCH1516intergenic_318637-318882	30	6.130000e-25
1	NCTC8325intergenic_264152-264824	30	6.130000e-25
1	TCH1516intergenic_2317347-2317802	20	6.130000e-25
1	TCH1516intergenic_1893139-1893485	21	7.920000e-24
1	NCTC8325intergenic_2263981-2266096	21	6.130000e-25
1	NCTC8325intergenic_1794848-1796426	21	7.920000e-24
1	TCH1516intergenic_>1443364-1443779	25	6.130000e-25
