CompId	Annotation	NumberOfNodes	EValue
90	TCH1516intergenic_1962111-1962582	34	6.130000e-25
90	NCTC8325intergenic_1865054-1865525	34	6.130000e-25
90	USA300HOU_RS09995;DBGWAS_general_tag=tRNA-Met	20	6.130000e-25
90	SAOUHSC_T00039;DBGWAS_general_tag=tRNA-Met	20	6.130000e-25
90	SAOUHSC_T00038;DBGWAS_general_tag=tRNA-Met	20	6.130000e-25
90	USA300HOU_RS09770;DBGWAS_general_tag=tRNA-Met	20	6.130000e-25
90	USA300HOU_RS10000;DBGWAS_general_tag=tRNA-Ser	12	6.130000e-25
90	SAOUHSC_T00051;DBGWAS_general_tag=tRNA-Ser	12	6.130000e-25
90	USA300HOU_RS10010;DBGWAS_general_tag=tRNA-Ser	4	1.030000e-22
90	USA300HOU_RS02385;DBGWAS_general_tag=tRNA-Ser	9	1.030000e-22
90	SAOUHSC_T00052;DBGWAS_general_tag=tRNA-Ser	4	1.030000e-22
90	SAOUHSC_T00048;DBGWAS_general_tag=tRNA-Ser	9	1.030000e-22
