# Automatic mecA detection and and mecA type prediction,,,,,,,
strain,resistance,mecA,no_of_SCCmec,single_gene_prediction,whole_cassette_prediction,wcp_pident,agreement
1280_21783,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,TRUE
1412728_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.75,TRUE
1410812_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.78,TRUE
1280_4373,MSSA,FALSE,0,,,0,TRUE
1280_28360,MRSA,TRUE,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.84,TRUE
1280_3856,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),91.32,TRUE
1280_17965,MSSA,FALSE,0,,,0,TRUE
1280_17934,MSSA,FALSE,0,,,0,TRUE
1280_4456,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,TRUE
1412786_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.05,TRUE
46170_343,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,TRUE
1418354_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.38,TRUE
1410855_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,TRUE
1280_11644,MSSA,FALSE,0,,,0,TRUE
1280_27502,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.96,TRUE
1280_12358,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.59,TRUE
1280_12383,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,TRUE
1409370_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.59,TRUE
1418301_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.33,TRUE
1280_18092,MSSA,FALSE,0,,,0,TRUE
1280_4516,MSSA,FALSE,0,,,0,TRUE
1409444_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89,TRUE
1280_5309,MRSA,TRUE,Multiple,SCCmec_type_IV(2B),SCCmec_type_II(2A),52.26,FALSE
1418411_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.56,TRUE
1409583_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.68,TRUE
1280_3857,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.81,TRUE
1280_11645,MSSA,FALSE,0,,,0,TRUE
1409717_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.21,TRUE
46170_351,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.76,TRUE
1417064_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,TRUE
1280_17815,MSSA,FALSE,0,,,0,TRUE
1410865_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,TRUE
1280_9429,MSSA,FALSE,0,,,0,TRUE
1280_24318,MSSA,FALSE,0,,,0,TRUE
1412782_3,MRSA,TRUE,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),79.38,FALSE
1280_27462,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.78,TRUE
1280_4021,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.04,TRUE
1280_4681,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.93,TRUE
1280_11668,MSSA,FALSE,0,,,0,TRUE
1398006_3,MSSA,FALSE,0,,,0,TRUE
1409736_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.62,TRUE
1280_4974,MSSA,FALSE,0,,,0,TRUE
1417182_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.47,TRUE
1280_4452,MSSA,FALSE,0,,,0,TRUE
1280_25939,MSSA,FALSE,0,,,0,TRUE
1409554_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.85,TRUE
1409428_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.84,TRUE
1280_27460,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,TRUE
1421854_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,TRUE
1280_16274,MRSA,TRUE,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.76,TRUE
1417057_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.82,TRUE
1409560_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.48,TRUE
1280_4388,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,TRUE
1280_12334,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.8,TRUE
1412766_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89,TRUE
1156999_3,MSSA,FALSE,0,,,0,TRUE
1421846_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.75,TRUE
1418422_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.03,TRUE
1280_11686,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89,TRUE
1280_3973,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.18,TRUE
1280_3988,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.69,TRUE
1280_17710,MSSA,FALSE,0,,,0,TRUE
1280_3962,MRSA,TRUE,1,SCCmec_type_IVb(2B),SCCmec_type_IVb(2B),99.4,TRUE
1280_17985,MRSA,TRUE,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.7,TRUE
1280_17875,MSSA,FALSE,0,,,0,TRUE
904799_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,TRUE
1280_4547,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.64,TRUE
1280_16398,MSSA,FALSE,0,,,0,TRUE
867914_5,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.03,TRUE
1280_4499,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,TRUE
1280_25833,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.6,TRUE
1409586_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.62,TRUE
1410707_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,TRUE
1280_16915,MRSA,TRUE,1,SCCmec_type_VI(4B),SCCmec_type_VI(4B),95.86,TRUE
1739323_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.91,TRUE
1421859_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.61,TRUE
1411545_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,TRUE
1409513_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.06,TRUE
1280_21636,MSSA,FALSE,0,,,0,TRUE
1280_12366,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.56,TRUE
1417048_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,TRUE
1409401_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.84,TRUE
1410695_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,TRUE
1280_4748,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.99,TRUE
1409429_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.88,TRUE
1280_4749,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.93,TRUE
1280_18631,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.99,TRUE
1412685_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.48,TRUE
1280_4385,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,TRUE
1417105_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.72,TRUE
1280_3802,MSSA,FALSE,0,,,0,TRUE
1280_4737,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),87.02,TRUE
1280_18044,MRSA,TRUE,1,SCCmec_type_VI(4B),SCCmec_type_VI(4B),95.93,TRUE
1410737_3,MRSA,TRUE,Multiple,SCCmec_type_IVg(2B),SCCmec_type_IVc(2B),78.7,FALSE
1421898_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),86.97,TRUE
1280_27469,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.15,TRUE
1280_4743,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.94,TRUE
1280_30797,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.95,TRUE
1412772_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.98,TRUE
1280_16396,MSSA,FALSE,0,,,0,TRUE
1280_4488,MSSA,FALSE,0,,,0,TRUE
1280_18035,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),89.05,TRUE
1280_13680,MRSA,TRUE,1,SCCmec_type_IVc(2B),SCCmec_type_IVc(2B),93.87,TRUE
1280_28563,MSSA,FALSE,0,,,0,TRUE
1418277_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.52,TRUE
1280_4459,MSSA,FALSE,0,,,0,TRUE
1280_12369,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.9,TRUE
1410720_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,TRUE
1412705_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.66,TRUE
1410841_3,MRSA,TRUE,1,SCCmec_type_IVa(2B),SCCmec_type_IVa(2B),88.86,TRUE
