,gene,subject,PID,alnLength,mismatchCount,gapOpenCount,queryStart,queryEnd,subjectStart,subjectEnd,eVal,bitScore,gene_length,COV,BBH
0,USA300HOU_RS00005,DQM91_RS00005,100.0,453,0,0,1,453,1,453,0.0,928.0,453,1.0,<=>
1,USA300HOU_RS00010,DQM91_RS00010,100.0,377,0,0,1,377,1,377,0.0,761.0,377,1.0,<=>
2,USA300HOU_RS00015,DQM91_RS00015,100.0,81,0,0,1,81,1,81,1.91e-54,159.0,81,1.0,<=>
3,USA300HOU_RS00020,DQM91_RS00020,100.0,370,0,0,1,370,1,370,0.0,759.0,370,1.0,<=>
4,USA300HOU_RS00025,DQM91_RS00025,100.0,644,0,0,1,644,1,644,0.0,1327.0,644,1.0,<=>
6,USA300HOU_RS00030,DQM91_RS00030,99.887,887,1,0,1,887,1,887,0.0,1786.0,887,1.0,<=>
9,USA300HOU_RS00035,DQM91_RS00035,100.0,270,0,0,1,270,1,270,0.0,559.0,270,1.0,<=>
10,USA300HOU_RS00040,DQM91_RS00040,100.0,504,0,0,1,504,1,504,0.0,1038.0,504,1.0,<=>
11,USA300HOU_RS00045,DQM91_RS00050,100.0,428,0,0,1,428,1,428,0.0,889.0,428,1.0,<=>
13,USA300HOU_RS00050,DQM91_RS00055,100.0,231,0,0,1,231,1,231,3.64e-169,461.0,231,1.0,<=>
14,USA300HOU_RS00055,DQM91_RS00060,100.0,109,0,0,1,109,1,109,4.12e-72,206.0,109,1.0,<=>
15,USA300HOU_RS00060,DQM91_RS00065,100.0,322,0,0,1,322,1,322,0.0,667.0,322,1.0,<=>
16,USA300HOU_RS00065,DQM91_RS00070,100.0,312,0,0,1,312,1,312,0.0,601.0,312,1.0,<=>
17,USA300HOU_RS00070,DQM91_RS00075,100.0,655,0,0,1,655,1,655,0.0,1341.0,655,1.0,<=>
20,USA300HOU_RS00075,DQM91_RS00080,100.0,148,0,0,1,148,1,148,3.07e-106,296.0,148,1.0,<=>
21,USA300HOU_RS00080,DQM91_RS00085,99.785,466,1,0,1,466,1,466,0.0,960.0,466,1.0,<=>
23,USA300HOU_RS00085,DQM91_RS00095,100.0,427,0,0,1,427,1,427,0.0,876.0,427,1.0,<=>
24,USA300HOU_RS00100,DQM91_RS00110,100.0,233,0,0,1,233,1,233,1.0199999999999999e-174,476.0,233,1.0,<=>
38,USA300HOU_RS00105,DQM91_RS00115,100.0,608,0,0,1,608,1,608,0.0,1236.0,608,1.0,<=>
48,USA300HOU_RS00110,DQM91_RS00120,100.0,444,0,0,1,444,1,444,0.0,910.0,444,1.0,<=>
49,USA300HOU_RS00115,DQM91_RS00125,100.0,262,0,0,1,262,1,262,0.0,527.0,262,1.0,<=>
50,USA300HOU_RS00120,DQM91_RS00130,100.0,266,0,0,1,266,1,266,0.0,556.0,266,1.0,<=>
52,USA300HOU_RS00125,DQM91_RS00135,100.0,772,0,0,1,772,1,772,0.0,1587.0,772,1.0,<=>
56,USA300HOU_RS00130,DQM91_RS00140,100.0,159,0,0,1,159,1,159,5.96e-118,326.0,159,1.0,<=>
232,USA300HOU_RS00400,DQM91_RS00145,100.0,44,0,0,1,44,1,44,1.1799999999999999e-25,84.3,44,1.0,<=>
233,USA300HOU_RS00405,DQM91_RS00150,100.0,30,0,0,1,30,1,30,7e-16,58.9,30,1.0,<=>
235,USA300HOU_RS00420,DQM91_RS00165,100.0,33,0,0,1,33,1,33,6.75e-19,66.6,33,1.0,<=>
236,USA300HOU_RS00425,DQM91_RS00170,100.0,251,0,0,1,251,1,251,9.89e-169,462.0,251,1.0,<=>
239,USA300HOU_RS00430,DQM91_RS00175,100.0,86,0,0,1,86,1,86,9.740000000000001e-58,168.0,86,1.0,<=>
241,USA300HOU_RS00435,DQM91_RS00180,100.0,355,0,0,1,355,1,355,0.0,730.0,355,1.0,<=>
245,USA300HOU_RS00440,DQM91_RS00185,99.775,444,1,0,1,444,1,444,0.0,917.0,444,1.0,<=>
254,USA300HOU_RS00455,DQM91_RS00205,100.0,310,0,0,1,310,19,328,0.0,637.0,310,1.0,<=>
255,USA300HOU_RS00460,DQM91_RS00210,100.0,67,0,0,1,67,1,67,5.72e-43,129.0,67,1.0,<=>
256,USA300HOU_RS00465,DQM91_RS00215,98.98,98,1,0,1,98,1,98,6.34e-69,197.0,98,1.0,<=>
257,USA300HOU_RS00470,DQM91_RS00220,99.754,406,1,0,1,406,1,406,0.0,791.0,406,1.0,<=>
262,USA300HOU_RS00475,DQM91_RS00225,99.379,161,1,0,1,161,23,183,1.2300000000000001e-117,326.0,161,1.0,<=>
264,USA300HOU_RS00480,DQM91_RS00230,100.0,286,0,0,1,286,1,286,0.0,572.0,286,1.0,<=>
270,USA300HOU_RS00485,DQM91_RS00235,100.0,177,0,0,1,177,1,177,2.35e-131,362.0,177,1.0,<=>
271,USA300HOU_RS00490,DQM91_RS00240,100.0,247,0,0,1,247,1,247,0.0,496.0,247,1.0,<=>
276,USA300HOU_RS00495,DQM91_RS00245,100.0,200,0,0,1,200,1,200,2.11e-145,399.0,200,1.0,<=>
277,USA300HOU_RS00500,DQM91_RS00250,99.905,1050,1,0,1,1050,1,1050,0.0,2165.0,1050,1.0,<=>
278,USA300HOU_RS00505,DQM91_RS00255,100.0,160,0,0,1,160,1,160,4.04e-114,317.0,160,1.0,<=>
279,USA300HOU_RS00510,DQM91_RS00260,100.0,328,0,0,1,328,1,328,0.0,676.0,328,1.0,<=>
280,USA300HOU_RS00515,DQM91_RS00265,100.0,256,0,0,1,256,1,256,0.0,512.0,256,1.0,<=>
